,position (um),Fat2 intensity,Abi intensity,phal intensity
0,0.0,5.75,1.75,2.5
1,0.06889,4.7308,1.03846,2.9615
2,0.13779,7.2115,2.11538,2.8846
3,0.20668,5.3846,2.61538,4.9231
4,0.27558,5.1923,1.0,11.9038
5,0.34447,16.1923,2.73077,13.8846
6,0.41337,17.0962,4.0,10.2115
7,0.48226,24.5385,6.92308,14.3077
8,0.55116,30.1731,2.01923,11.9038
9,0.62005,12.6923,4.88462,17.4231
10,0.68894,8.0577,3.0,12.1538
11,0.75784,7.1538,3.92308,10.3846
12,0.82673,3.3846,1.21154,8.8269
13,0.89563,0.0,3.0,15.0
14,0.96452,2.5962,1.59615,10.4038
15,1.03342,1.0,0.30769,14.3077
16,1.10231,2.0,1.0,8.9038
17,1.17121,9.3077,2.76923,14.3077
18,1.2401,9.8654,0.98077,18.8077
19,1.309,11.1538,4.61538,13.5385
20,1.37789,7.0,0.17308,6.8269
21,1.44678,1.5385,1.46154,5.4615
22,1.51568,3.9231,1.63462,10.0769
23,1.58457,0.0,1.07692,5.6154
24,1.65347,0.0,1.11538,5.9808
25,1.72236,0.0,1.0,2.3077
26,1.79126,0.0,0.75,2.0
