,position (um),Fat2 intensity,Abi intensity,phal intensity
0,0.0,8.0,1.0,4.5
1,0.06889,7.789,1.98913,8.4022
2,0.13779,11.01,2.3828,7.8384
3,0.20668,7.771,4.58719,14.1089
4,0.27558,11.557,4.44707,11.5926
5,0.34447,17.579,4.75933,13.2408
6,0.41337,26.434,7.91493,17.0955
7,0.48226,29.79,8.47247,25.5945
8,0.55116,40.522,5.58129,26.9461
9,0.62005,102.133,7.69223,39.5878
10,0.68894,53.066,7.04064,44.6333
11,0.75784,30.989,7.06274,59.8568
12,0.82673,14.594,2.33176,50.0284
13,0.89563,3.759,1.29407,43.8815
14,0.96452,5.065,2.14556,37.4877
15,1.03342,2.501,1.25697,36.0543
16,1.10231,1.427,1.82609,29.3724
17,1.17121,0.558,1.30884,20.2909
18,1.2401,1.353,0.20416,15.5123
19,1.309,0.66,0.84523,6.8496
20,1.37789,0.09,0.71456,5.4216
21,1.44678,0.0,1.90796,5.5826
22,1.51568,3.904,1.63043,5.4849
23,1.58457,3.062,0.375,1.5625
